Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
86.21,56.082,81.435,51.435,70.442936,1.4153,2.1277,0.1055
86.279,55.498,81.435,51.435,70.442936,1.4251,2.1381,0.1063
86.345,54.92,81.435,51.435,70.442936,1.4351,2.1487,0.107
86.408,54.35,81.435,51.435,70.442936,1.4452,2.1595,0.1078
86.469,53.786,81.435,51.435,70.442936,1.4556,2.1704,0.1085
86.527,53.229,81.435,51.435,70.442936,1.4661,2.1816,0.1093
86.584,52.679,81.435,51.435,70.442936,1.4767,2.1929,0.1101
86.638,52.136,81.435,51.435,70.442936,1.4875,2.2044,0.1109
86.691,51.599,81.435,51.435,70.442936,1.4985,2.2161,0.1117
86.741,51.068,81.435,51.435,70.442936,1.5096,2.228,0.1126
86.791,50.545,81.435,51.435,70.442936,1.5209,2.2401,0.1134
86.838,50.027,81.435,51.435,70.442936,1.5323,2.2523,0.1143
86.884,49.516,81.435,51.435,70.442936,1.5439,2.2647,0.1151
86.928,49.012,81.435,51.435,70.442936,1.5556,2.2773,0.116
86.971,48.513,81.435,51.435,70.442936,1.5675,2.2901,0.1169
87.013,48.021,81.435,51.435,70.442936,1.5795,2.303,0.1178
87.053,47.536,81.435,51.435,70.442936,1.5917,2.3162,0.1187
87.092,47.056,81.435,51.435,70.442936,1.604,2.3294,0.1196
87.13,46.582,81.435,51.435,70.442936,1.6165,2.3429,0.1205
87.167,46.114,81.435,51.435,70.442936,1.6291,2.3565,0.1215
87.203,45.653,81.435,51.435,70.442936,1.6419,2.3703,0.1224
87.238,45.197,81.435,51.435,70.442936,1.6548,2.3843,0.1234
87.272,44.746,81.435,51.435,70.442936,1.6678,2.3985,0.1244
87.305,44.302,81.435,51.435,70.442936,1.681,2.4128,0.1253
87.338,43.863,81.435,51.435,70.442936,1.6943,2.4272,0.1263
87.369,43.429,81.435,51.435,70.442936,1.7078,2.4419,0.1273
87.399,43.001,81.435,51.435,70.442936,1.7214,2.4567,0.1283
87.429,42.579,81.435,51.435,70.442936,1.7351,2.4717,0.1294
87.458,42.162,81.435,51.435,70.442936,1.749,2.4868,0.1304
87.487,41.75,81.435,51.435,70.442936,1.763,2.5021,0.1315
87.514,41.343,81.435,51.435,70.442936,1.7771,2.5176,0.1325
87.541,40.941,81.435,51.435,70.442936,1.7914,2.5332,0.1336
87.568,40.545,81.435,51.435,70.442936,1.8058,2.549,0.1346
87.594,40.153,81.435,51.435,70.442936,1.8204,2.565,0.1357
87.619,39.766,81.435,51.435,70.442936,1.8351,2.5811,0.1368
87.643,39.384,81.435,51.435,70.442936,1.8499,2.5974,0.1379
87.667,39.007,81.435,51.435,70.442936,1.8649,2.6139,0.1391
